season,game_id,event_index,decision,call_type,luna_level,sonnet_level,final_level,final_source
2018-19,0021800871,0,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800871,1,CNC,Foul: Offensive,legal,legal,legal,sonnet
2018-19,0021800871,3,CNC,Foul: Defense 3 Second,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800871,4,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800871,5,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800871,6,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800871,7,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800871,8,CC,Foul: Technical,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800871,9,CNC,Foul: Offensive,none,none,none,luna
2018-19,0021800871,10,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800871,12,CC,Foul: Personal,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800871,13,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800871,14,CC,Foul: Personal,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800871,15,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800871,16,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800871,17,CC,Foul: Personal,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800871,18,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800871,19,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800871,20,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800872,0,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800872,1,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800872,2,CC,Foul: Offensive,affecting,affecting,affecting,luna
2018-19,0021800872,3,CNC,Foul: Offensive,legal,legal,legal,sonnet
2018-19,0021800872,4,CNC,Foul: Shooting,affecting,marginal,marginal,sonnet
2018-19,0021800872,5,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800872,7,CC,Foul: Technical,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800872,8,CC,Foul: Technical,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800872,9,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800872,10,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800872,11,CC,Foul: Personal,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800875,0,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800875,1,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800875,3,CNC,Foul: Offensive,legal,legal,legal,sonnet
2018-19,0021800875,4,CNC,Foul: Offensive,none,none,none,luna
2018-19,0021800875,5,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800875,6,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800875,7,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800875,10,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800875,11,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800875,13,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800875,14,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800875,15,CNC,Foul: Offensive,none,none,none,luna
2018-19,0021800875,16,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800875,17,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800875,18,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800875,19,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800875,21,CNC,Foul: Offensive,marginal,none,marginal,luna
2018-19,0021800875,22,CNC,Foul: Away from Play,marginal,marginal,marginal,luna
2018-19,0021800875,23,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800875,24,CNC,Foul: Personal,legal,legal,legal,luna
2018-19,0021800875,25,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800876,0,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800876,1,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800876,2,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800876,3,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800876,4,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800876,5,CNC,Foul: Loose Ball,affecting,marginal,affecting,luna
2018-19,0021800876,6,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800876,7,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800876,9,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800876,10,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800876,11,CNC,Foul: Personal,legal,legal,legal,sonnet
2018-19,0021800876,12,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800876,13,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800876,16,CC,Foul: Personal,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800877,0,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800877,1,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800877,2,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800877,3,CNC,Foul: Offensive,legal,legal,legal,sonnet
2018-19,0021800877,4,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800877,6,CNC,Foul: Personal,legal,legal,legal,sonnet
2018-19,0021800877,7,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800877,8,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800877,9,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800877,10,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800877,11,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800877,13,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800877,14,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800877,15,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800877,16,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800877,18,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800877,19,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800881,0,CNC,Foul: Personal,legal,legal,legal,luna
2018-19,0021800881,1,CNC,Foul: Offensive,none,none,none,luna
2018-19,0021800881,2,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800881,3,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800881,4,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800881,7,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800881,8,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800881,9,CC,Foul: Loose Ball,affecting,affecting,affecting,luna
2018-19,0021800881,10,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800881,11,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800881,12,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800881,13,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800881,14,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800881,15,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800881,16,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800881,17,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800881,18,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800881,19,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800881,20,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800881,21,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800881,22,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800881,23,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800881,24,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800881,25,CC,Foul: Offensive Charge,affecting,affecting,affecting,luna
2018-19,0021800881,26,CNC,Foul: Offensive,legal,legal,legal,sonnet
2018-19,0021800881,27,CNC,Foul: Offensive,legal,legal,legal,sonnet
2018-19,0021800881,29,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800881,30,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800881,32,CNC,Foul: Offensive,marginal,legal,marginal,luna
2018-19,0021800881,33,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800881,34,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800881,35,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800881,36,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800881,37,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800881,38,CNC,Foul: Offensive,legal,legal,legal,sonnet
2018-19,0021800881,39,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800881,40,CNC,Foul: Offensive,legal,legal,legal,sonnet
2018-19,0021800881,41,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800881,42,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800881,43,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800881,44,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800881,45,CNC,Foul: Personal,legal,legal,legal,sonnet
2018-19,0021800881,46,INC,Foul: Offensive,affecting,unclear,affecting,luna
2018-19,0021800881,47,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800881,48,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800881,49,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800881,50,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800881,51,CC,Foul: Loose Ball,affecting,affecting,affecting,luna
2018-19,0021800881,52,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800881,53,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800881,54,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800881,55,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800881,57,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800881,59,CNC,Foul: Loose Ball,legal,legal,legal,luna
2018-19,0021800881,60,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800881,61,CNC,Foul: Shooting,none,none,none,sonnet
2018-19,0021800881,62,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800883,0,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800883,1,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800883,2,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800883,4,CNC,Foul: Personal,none,none,none,sonnet
2018-19,0021800883,5,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800883,6,INC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800883,7,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800883,8,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800883,9,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800883,10,CNC,Foul: Shooting,none,none,none,sonnet
2018-19,0021800883,11,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800883,12,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800883,13,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800883,14,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800883,15,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800883,16,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800883,17,CC,Foul: Personal,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800884,0,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800884,1,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800884,2,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800884,3,CNC,Foul: Offensive,legal,legal,legal,sonnet
2018-19,0021800884,4,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800884,5,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800884,6,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800884,7,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800884,8,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800884,9,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800884,10,CNC,Foul: Offensive,legal,legal,legal,sonnet
2018-19,0021800884,11,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800884,12,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800884,13,CC,Foul: Personal,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800884,14,CNC,Foul: Shooting,legal,legal,legal,sonnet
2018-19,0021800885,0,INC,Foul: Offensive,affecting,affecting,affecting,luna
2018-19,0021800885,1,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800885,2,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800885,3,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800885,4,CNC,Foul: Offensive,none,none,none,luna
2018-19,0021800885,5,CNC,Foul: Offensive,legal,legal,legal,sonnet
2018-19,0021800885,6,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800885,7,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800885,8,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800885,9,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800885,10,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800885,11,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800885,12,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800885,13,CNC,Foul: Personal,legal,legal,legal,luna
2018-19,0021800885,14,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800885,16,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800885,18,INC,Foul: Loose Ball,affecting,affecting,affecting,luna
2018-19,0021800885,19,CC,Foul: Personal Take,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800885,20,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800885,21,CC,Foul: Personal,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800885,22,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800885,23,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800885,24,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800885,25,CC,Foul: Personal Take,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800885,26,CNC,Foul: Offensive,none,none,none,luna
2018-19,0021800885,27,CC,Foul: Personal Take,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800886,0,CNC,Foul: Loose Ball,legal,marginal,marginal,sonnet
2018-19,0021800886,1,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800886,2,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800886,3,INC,Foul: Offensive,affecting,affecting,affecting,sonnet
2018-19,0021800886,4,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800886,7,CNC,Foul: Personal,unclear,marginal,marginal,sonnet
2018-19,0021800886,8,CNC,Foul: Offensive,affecting,affecting,affecting,luna
2018-19,0021800886,9,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800886,10,INC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800886,11,CC,Foul: Personal,legal,legal,legal,sonnet
2018-19,0021800886,13,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800886,14,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800886,15,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800886,17,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800886,19,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800886,20,CC,Foul: Personal,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800886,21,CNC,Foul: Loose Ball,affecting,marginal,marginal,sonnet
2018-19,0021800886,22,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800886,23,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800886,24,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800886,25,CNC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800886,26,CNC,Foul: Personal,legal,legal,legal,luna
2018-19,0021800886,27,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800886,28,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800886,29,CNC,Foul: Shooting,marginal,legal,marginal,luna
2018-19,0021800886,30,CC,Foul: Personal,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800890,1,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800890,2,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800890,3,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800890,4,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800890,5,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800890,6,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800890,7,INC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800890,9,INC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800890,10,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800890,11,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800890,12,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800890,13,CNC,Foul: Personal,legal,legal,legal,luna
2018-19,0021800890,15,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800890,17,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800890,18,CC,Foul: Offensive,affecting,affecting,affecting,luna
2018-19,0021800890,19,INC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800890,20,CNC,Foul: Personal,none,none,none,sonnet
2018-19,0021800890,21,CC,Foul: Personal,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800890,22,CNC,Foul: Offensive,none,none,none,sonnet
2018-19,0021800890,23,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800901,0,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800901,1,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800901,2,CNC,Foul: Loose Ball,unclear,unclear,unclear,sonnet
2018-19,0021800901,4,CNC,Foul: Offensive,unclear,marginal,marginal,sonnet
2018-19,0021800901,6,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800901,7,INC,Foul: Offensive,affecting,affecting,affecting,luna
2018-19,0021800901,8,INC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800901,9,IC,Foul: Shooting,none,none,none,sonnet
2018-19,0021800901,10,CNC,Foul: Offensive,none,none,none,luna
2018-19,0021800901,11,CNC,Foul: Offensive,none,none,none,luna
2018-19,0021800901,12,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800901,14,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800901,15,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800901,16,INC,Foul: Loose Ball,affecting,affecting,affecting,luna
2018-19,0021800901,17,INC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800901,18,CC,Foul: Personal,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800904,1,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800904,2,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800904,3,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800904,4,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800904,5,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800904,6,CNC,Foul: Loose Ball,none,none,none,luna
2018-19,0021800904,7,CNC,Foul: Offensive,none,none,none,luna
2018-19,0021800904,9,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800904,13,CNC,Foul: Personal,legal,legal,legal,luna
2018-19,0021800904,14,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800904,15,CC,Foul: Shooting,affecting,affecting,affecting,luna
2018-19,0021800904,16,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800904,17,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800904,19,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800904,20,CC,Foul: Offensive,unclear,affecting,affecting,sonnet
2018-19,0021800904,21,CC,Foul: Personal,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800904,22,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800904,23,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800904,26,CNC,Foul: Offensive,none,none,none,luna
2018-19,0021800904,27,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800904,29,CC,Foul: Personal,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800904,30,CNC,Foul: Shooting,legal,legal,legal,luna
2018-19,0021800906,1,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800906,2,CNC,Foul: Offensive,none,none,none,luna
2018-19,0021800906,3,CNC,Foul: Offensive,none,none,none,luna
2018-19,0021800906,4,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800906,5,CNC,Foul: Shooting,none,none,none,luna
2018-19,0021800906,6,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800906,7,INC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800906,8,CNC,Foul: Personal,legal,legal,legal,luna
2018-19,0021800906,9,CNC,Foul: Offensive,none,none,none,luna
2018-19,0021800906,10,INC,Foul: Loose Ball,affecting,affecting,affecting,luna
2018-19,0021800906,11,CNC,Foul: Offensive,marginal,marginal,marginal,luna
2018-19,0021800906,12,CNC,Foul: Offensive,affecting,marginal,marginal,sonnet
2018-19,0021800906,13,CNC,Foul: Shooting,legal,marginal,marginal,sonnet
2018-19,0021800906,14,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800906,15,CC,Foul: Personal,affecting,affecting,affecting,luna
2018-19,0021800906,16,CC,Foul: Personal Take,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800906,17,CNC,Foul: Offensive,legal,legal,legal,sonnet
2018-19,0021800906,18,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800906,19,CC,Foul: Personal Take,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
2018-19,0021800906,20,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800906,21,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800906,22,INC,Foul: Loose Ball,affecting,affecting,affecting,luna
2018-19,0021800908,0,CNC,Foul: Offensive,legal,legal,legal,luna
2018-19,0021800908,1,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800908,2,CNC,Foul: Offensive,legal,legal,legal,luna
2018-19,0021800908,3,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800908,4,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800908,5,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800908,6,CNC,Foul: Shooting,marginal,marginal,marginal,luna
2018-19,0021800908,7,CNC,Foul: Offensive,legal,legal,legal,luna
2018-19,0021800908,8,CNC,Foul: Shooting,legal,legal,legal,sonnet
2018-19,0021800908,9,CNC,Foul: Loose Ball,marginal,marginal,marginal,luna
2018-19,0021800908,10,CNC,Foul: Personal,marginal,marginal,marginal,luna
2018-19,0021800908,11,CNC,Foul: Personal,legal,marginal,marginal,sonnet
2018-19,0021800908,12,CC,Foul: Personal Take,not_contact_judgment,not_contact_judgment,not_contact_judgment,luna
