game_id,event_id,period,clock,description,landing_foul,note,source,fouled_player_name,fouled_team_tricode,committing_player_name,committing_team_tricode,caller_official_name,timestamp
0021900736,610,4,PT06M37.00S,Bjelica S.FOUL (P5.PN) (M.Davis),YES,,landing_classifier,K. Caldwell-Pope,LAL,N. Bjelica,SAC,M.Davis,2026-06-30T14:51:32.869Z
0021900737,311,2,PT01M19.00S,Harris S.FOUL (P1.T4) (T.Maddox),NO,,landing_classifier,S. Mykhailiuk,DET,G. Harris,DEN,T.Maddox,2026-06-30T15:04:13.572Z
0021900770,115,1,PT03M11.00S,Wagner S.FOUL (P1.T2) (K.Scott),YES,,landing_classifier,S. Curry,DAL,M. Wagner,WAS,K.Scott,2026-06-30T15:13:58.745Z
0021900774,304,2,PT00M02.70S,Covington S.FOUL (P2.PN) (Z.Zarba),NO,Looks closer to a contest call,landing_classifier,D. Booker,PHX,R. Covington,HOU,Z.Zarba,2026-06-30T15:22:15.455Z
0021900798,283,2,PT00M39.00S,Kleber S.FOUL (P1.PN) (T.Brown),NO,,landing_classifier,D. Mitchell,UTA,M. Kleber,DAL,T.Brown,2026-06-30T14:56:51.000Z
0021900799,15,1,PT10M55.00S,Murray S.FOUL (P1.T1) (L.Wood),NO,,landing_classifier,L. Aldridge,SAS,J. Murray,DEN,L.Wood,2026-06-30T14:46:36.110Z
0021900806,642,4,PT03M09.00S,Walker S.FOUL (P3.PN) (J.Tiven),YES,,landing_classifier,J. Harden,HOU,K. Walker,BOS,J.Tiven,2026-06-30T14:44:51.974Z
0021900841,85,1,PT05M19.00S,Gordon S.FOUL (P2.PN) (B.Kennedy),NO,Contact occurs before the ball has left shooter's hand,landing_classifier,D. Mitchell,UTA,E. Gordon,HOU,B.Kennedy,2026-06-30T15:17:39.835Z
0021900865,370,3,PT08M05.00S,Thybulle S.FOUL (P3.T4) (A.Smith),NO,,landing_classifier,C. Sexton,CLE,M. Thybulle,PHI,A.Smith,2026-06-30T14:47:44.533Z
0021900867,240,2,PT06M37.00S,Collins S.FOUL (P1.PN) (B.Forte),YES,,landing_classifier,T. Ross,ORL,J. Collins,ATL,B.Forte,2026-06-30T14:53:33.568Z
0021900927,132,1,PT00M33.40S,Green S.FOUL (P1.PN) (M.Davis),NO,Lou pumps defender into the air and launches shot while colliding,landing_classifier,L. Williams,LAC,J. Green,HOU,M.Davis,2026-06-30T14:47:20.321Z
0021900946,612,4,PT04M51.00S,White S.FOUL (P3.PN) (J.Butler),YES,,landing_classifier,S. Dinwiddie,BKN,C. White,CHI,J.Butler,2026-06-30T14:52:28.981Z
0021900962,7,1,PT11M48.00S,Harrison S.FOUL (P1.T1) (T.Washington),NO,,landing_classifier,K. Love,CLE,S. Harrison,CHI,T.Washington,2026-06-30T14:40:24.615Z
0021901247,540,3,PT00M16.60S,Bazemore S.FOUL (P5.PN) (E.Malloy),NO,,landing_classifier,T. Ross,ORL,K. Bazemore,SAC,E.Malloy,2026-06-30T15:29:54.356Z
0021901249,670,4,PT03M12.00S,Finney-Smith S.FOUL (P2.T4) (P.Fraher),NO,,landing_classifier,D. Booker,PHX,D. Finney-Smith,DAL,P.Fraher,2026-06-30T14:55:38.626Z
0021901261,263,2,PT03M57.00S,Collins S.FOUL (P3.T4) (K.Fitzgerald),NO,v3 mechanism=DRV-FINISH,v3_foul_type,,,,,,
0021901261,383,3,PT08M40.00S,Nurkic S.FOUL (P2.T2) (K.Fitzgerald),NO,v3 mechanism=PUMP-JUMP,v3_foul_type,,,,,,
0021901261,548,4,PT07M38.00S,Trent Jr. S.FOUL (P3.PN) (K.Cutler),NO,v3 mechanism=ARM-HOOK,v3_foul_type,,,,,,
0021901266,292,2,PT02M07.00S,VanVleet S.FOUL (P2.PN) (J.Williams),YES,,landing_classifier,E. Fournier,ORL,F. VanVleet,TOR,J.Williams,2026-06-30T15:28:42.951Z
0021901271,54,1,PT07M27.00S,Porzingis S.FOUL (P1.T2) (G.Petraitis),YES,,landing_classifier,M. Morris Sr.,LAC,K. Porziņģis,DAL,G.Petraitis,2026-06-30T15:00:46.246Z
0021901273,59,1,PT06M23.00S,Cook S.FOUL (P1.T1) (D.Taylor),NO,v3 mechanism=DRV-FINISH,v3_foul_type,,,,,,
0021901273,230,2,PT07M09.00S,Morris S.FOUL (P1.T1) (S.Foster),NO,v3 mechanism=CONTEST,v3_foul_type,,,,,,
0021901273,308,2,PT02M58.00S,Kuzma S.FOUL (P1.T3) (S.Foster),NO,v3 mechanism=DRV-INIT,v3_foul_type,,,,,,
0021901273,367,3,PT11M47.00S,Green S.FOUL (P1.T1) (D.Taylor),NO,v3 mechanism=ARM-HOOK,v3_foul_type,,,,,,
0021901273,402,3,PT08M36.00S,Caldwell-Pope S.FOUL (P1.T2) (S.Foster),NO,v3 mechanism=ARM-HOOK,v3_foul_type,,,,,,
0021901273,626,4,PT03M26.00S,Horton-Tucker S.FOUL (P4.T4) (S.Foster),NO,v3 mechanism=DRV-FINISH,v3_foul_type,,,,,,
0021901290,84,1,PT05M55.00S,Giles III S.FOUL (P1.T4) (B.Kennedy),NO,v3 mechanism=DRV-FINISH,v3_foul_type,,,,,,
0021901290,103,1,PT04M12.00S,Hield S.FOUL (P1.PN) (J.Goble),NO,v3 mechanism=CONTEST,v3_foul_type,,,,,,
0021901290,281,2,PT01M53.00S,Joseph S.FOUL (P2.PN) (E.Lewis),NO,v3 mechanism=AMB,v3_foul_type,,,,,,
0021901304,9,1,PT11M38.00S,Sampson S.FOUL (P1.T1) (E.Malloy),NO,v3 mechanism=ARM-HOOK,v3_foul_type,,,,,,
0021901304,77,1,PT06M05.00S,J. Holiday S.FOUL (P1.T4) (K.Lane),YES,v3 mechanism=LANDING,v3_foul_type,,,,,,
0021901304,436,3,PT07M05.00S,Oladipo S.FOUL (P3.T2) (S.Corbin),NO,v3 mechanism=ARM-HOOK,v3_foul_type,,,,,,
0021901304,636,4,PT06M32.00S,J. Holiday S.FOUL (P2.T3) (S.Corbin),NO,Contest/Reach-in level,landing_classifier,J. Harden,HOU,J. Holiday,IND,S.Corbin,2026-06-30T14:54:17.152Z
0021901304,658,4,PT04M51.00S,McDermott S.FOUL (P1.T4) (S.Corbin),NO,v3 mechanism=CONTEST,v3_foul_type,,,,,,
0021901311,374,3,PT11M16.00S,Valanciunas S.FOUL (P3.T2) (B.Taylor),YES,,landing_classifier,B. Lopez,MIL,J. Valančiūnas,MEM,B.Taylor,2026-06-30T14:42:27.807Z
0021901315,13,1,PT11M22.00S,Milton S.FOUL (P1.T1) (K.Fitzgerald),NO,v3 mechanism=ARM-HOOK,v3_foul_type,,,,,,
0021901315,82,1,PT05M39.00S,Horford S.FOUL (P2.PN) (K.Cutler),NO,v3 mechanism=ARM-HOOK,v3_foul_type,,,,,,
0021901315,117,1,PT02M54.00S,Richardson S.FOUL (P1.PN) (K.Fitzgerald),NO,v3 mechanism=DRV-INIT,v3_foul_type,,,,,,
0021901318,628,4,PT00M45.70S,Johnson S.FOUL (P5.PN) (T.Brown),NO,,landing_classifier,P. Dozier,DEN,S. Johnson,TOR,T.Brown,2026-06-30T14:56:31.828Z
0022000008,409,3,PT06M20.00S,Burke S.FOUL (P3.T4) (K.Cutler),UNCLEAR,"Borderline, lean contest foul more",landing_classifier,D. Schröder,LAL,T. Burke,DAL,K.Cutler,2026-06-30T14:39:47.791Z
0022000033,144,1,PT01M06.00S,Smith S.FOUL (P1.PN) (H.Workman),NO,Contest,landing_classifier,T. Ross,ORL,I. Smith,WAS,H.Workman,2026-06-30T14:50:31.257Z
0022000045,59,1,PT06M07.00S,Schroder S.FOUL (P1.T2) (N.Green),NO,,landing_classifier,D. Lillard,POR,D. Schröder,LAL,N.Green,2026-06-30T15:26:09.500Z
0022000061,386,3,PT05M42.00S,Beverley S.FOUL (P3.T4) (S.Foster),NO,Contest level,landing_classifier,D. Lillard,POR,P. Beverley,LAC,S.Foster,2026-06-30T14:41:47.356Z
0022000078,680,4,PT02M08.00S,Simons S.FOUL (P4.T4) (M.Ayotte),YES,,landing_classifier,J. Poole,GSW,A. Simons,POR,M.Ayotte,2026-06-30T15:16:41.028Z
0022000114,603,4,PT00M47.60S,Ball S.FOUL (P4.PN) (J.Capers),NO,,landing_classifier,S. Gilgeous-Alexander,OKC,L. Ball,NOP,J.Capers,2026-06-30T15:26:31.387Z
0022000120,351,2,PT01M25.00S,Marjanovic S.FOUL (P2.PN) (A.Moyer-Gleich),YES,,landing_classifier,P. Millsap,DEN,B. Marjanović,DAL,,2026-06-30T15:27:48.606Z
0022000142,479,4,PT11M13.00S,Williams S.FOUL (P1.T2) (Z.Zarba),NO,,landing_classifier,L. Williams,LAC,P. Williams,CHI,Z.Zarba,2026-06-30T14:51:28.830Z
0022000155,201,2,PT07M53.00S,Trent Jr. S.FOUL (P1.T1) (S.Jelks),NO,,landing_classifier,K. Lowry,TOR,G. Trent Jr.,POR,S.Jelks,2026-06-30T14:41:51.443Z
0022000204,14,1,PT10M49.00S,Osman S.FOUL (P1.T1) (S.Wright),UNCLEAR,,landing_classifier,D. Bertans,WAS,C. Osman,CLE,S.Wright,2026-06-30T14:44:13.963Z
0022000219,389,3,PT07M12.00S,Wright S.FOUL (P2.T4) (Z.Zarba),YES,,landing_classifier,T. Young,ATL,D. Wright,DET,Z.Zarba,2026-06-30T15:19:32.940Z
0022000268,597,4,PT03M47.00S,Mann S.FOUL (P4.T3) (S.Wall),NO,Classic Trae Young jumps into defender,landing_classifier,T. Young,ATL,T. Mann,LAC,S.Wall,2026-06-30T14:59:44.141Z
0022000305,194,2,PT08M35.00S,Bey S.FOUL (P1.T2) (K.Cutler),NO,,landing_classifier,J. Poole,GSW,S. Bey,DET,K.Cutler,2026-06-30T15:09:25.630Z
0022000344,318,3,PT11M26.00S,Williams S.FOUL (P2.T1) (E.Lewis),YES,,landing_classifier,J. Ennis III,ORL,P. Williams,CHI,E.Lewis,2026-06-30T15:27:50.901Z
0022000354,486,4,PT11M32.00S,Thybulle S.FOUL (P2.T1) (K.Lane),YES,Somewhat borderline as to whether Thybulle contacts Shamet in the arm prior to Shamet landing on Thybulle,landing_classifier,L. Shamet,BKN,M. Thybulle,PHI,K.Lane,2026-06-30T15:15:16.691Z
0022000373,124,1,PT00M32.50S,Jokic S.FOUL (P1.T2) (S.Wright),YES,,landing_classifier,K. Middleton,MIL,N. Jokić,DEN,S.Wright,2026-06-30T14:56:13.286Z
0022000411,450,3,PT03M08.00S,Finney-Smith S.FOUL (P3.PN) (J.Butler),NO,,landing_classifier,D. Lillard,POR,D. Finney-Smith,DAL,J.Butler,2026-06-30T14:53:20.811Z
0022000435,597,4,PT04M20.00S,Mills S.FOUL (P1.PN) (P.Fraher),NO,,landing_classifier,D. Garland,CLE,P. Mills,SAS,P.Fraher,2026-06-30T15:27:29.446Z
0022000436,508,4,PT09M02.00S,Gibson S.FOUL (P2.T1) (J.Conley),YES,,landing_classifier,T. Ross,ORL,T. Gibson,NYK,J.Conley,2026-06-30T15:21:29.794Z
0022000437,535,4,PT09M21.00S,Hartenstein S.FOUL (P3.T2) (D.Mosher),NO,,landing_classifier,D. Bertans,WAS,I. Hartenstein,DEN,D.Mosher,2026-06-30T15:16:29.524Z
0022000458,120,1,PT03M18.00S,Quickley S.FOUL (P1.T4) (J.DeRosa),YES,,landing_classifier,P. Mills,SAS,I. Quickley,NYK,J.DeRosa,2026-06-30T14:54:28.398Z
0022000521,152,1,PT00M00.90S,Stewart S.FOUL (P1.PN) (T.Brothers),NO,,landing_classifier,I. Quickley,NYK,I. Stewart,DET,T.Brothers,2026-06-30T15:04:43.208Z
0022000541,22,1,PT09M24.00S,Barrett S.FOUL (P1.T1) (S.Jelks),YES,,landing_classifier,L. Walker IV,SAS,R. Barrett,NYK,S.Jelks,2026-06-30T15:02:31.833Z
0022000548,445,3,PT02M16.00S,Arcidiacono S.FOUL (P1.T2) (T.Washington),YES,,landing_classifier,J. Redick,NOP,R. Arcidiacono,CHI,T.Washington,2026-06-30T15:22:41.351Z
0022000552,265,2,PT04M06.00S,Johnson S.FOUL (P2.T2) (B.Barnaky),YES,,landing_classifier,K. Walker,BOS,S. Johnson,TOR,B.Barnaky,2026-06-30T14:41:25.663Z
0022000566,405,3,PT10M02.00S,Morant S.FOUL (P2.T1) (A.Moyer-Gleich),NO,,landing_classifier,G. Mathews,WAS,J. Morant,MEM,,2026-06-30T15:23:54.862Z
0022000586,47,1,PT07M06.00S,Ntilikina S.FOUL (P1.T1) (J.Tiven),NO,,landing_classifier,L. Dort,OKC,F. Ntilikina,NYK,J.Tiven,2026-06-30T14:47:33.742Z
0022000614,421,3,PT03M08.00S,Alexander-Walker S.FOUL (P1.T3) (E.Dalen),NO,,landing_classifier,D. Lillard,POR,N. Alexander-Walker,NOP,E.Dalen,2026-06-30T14:52:49.773Z
0022000634,285,2,PT01M30.00S,Watson S.FOUL (P3.T3) (C.Washington),NO,,landing_classifier,D. Mitchell,UTA,P. Watson,TOR,C.Washington,2026-06-30T15:07:51.002Z
0022000636,330,3,PT11M50.00S,Green S.FOUL (P2.T1) (S.Corbin),NO,,landing_classifier,K. Anderson,MEM,D. Green,GSW,S.Corbin,2026-06-30T15:05:33.851Z
0022000672,308,2,PT00M28.90S,House Jr. S.FOUL (P2.PN) (J.Williams),YES,,landing_classifier,T. Rozier,CHA,D. House Jr.,HOU,J.Williams,2026-06-30T14:56:56.866Z
0022000679,26,1,PT09M52.00S,Barrett S.FOUL (P1.T2) (R.Acosta),YES,,landing_classifier,G. Mathews,WAS,R. Barrett,NYK,R.Acosta,2026-06-30T15:15:55.513Z
0022000685,7,1,PT11M46.00S,DiVincenzo S.FOUL (P1.T1) (E.Malloy),NO,,landing_classifier,K. Walker,BOS,D. DiVincenzo,MIL,E.Malloy,2026-06-30T15:07:59.012Z
0022000768,504,4,PT09M55.00S,Martin Jr. S.FOUL (P2.T2) (M.Kogut),YES,,landing_classifier,C. Paul,PHX,K. Martin,HOU,M.Kogut,2026-06-30T15:05:48.493Z
0022000813,302,3,PT11M09.00S,Morris Sr. S.FOUL (P2.T1) (J.Sterling),YES,,landing_classifier,S. Bey,DET,M. Morris Sr.,LAC,J.Sterling,2026-06-30T14:47:18.469Z
0022000836,490,3,PT00M33.70S,Jerome S.FOUL (P2.PN) (N.Green),NO,,landing_classifier,S. Curry,GSW,T. Jerome,OKC,N.Green,2026-06-30T14:43:43.178Z
0022000849,383,3,PT06M22.00S,Anthony S.FOUL (P2.T2) (H.Workman),NO,,landing_classifier,C. Boucher,TOR,C. Anthony,ORL,H.Workman,2026-06-30T15:22:01.205Z
0022000915,260,2,PT03M26.00S,Hield S.FOUL (P2.PN) (Z.Zarba),NO,,landing_classifier,S. Curry,GSW,B. Hield,SAC,Z.Zarba,2026-06-30T14:53:42.856Z
0022000921,520,4,PT05M45.00S,Osman S.FOUL (P3.T4) (C.Kirkland),YES,,landing_classifier,M. Flynn,TOR,C. Osman,CLE,C.Kirkland,2026-06-30T14:50:55.063Z
0022001004,301,2,PT02M29.00S,Brazdeikis S.FOUL (P1.PN) (Z.Zarba),NO,,landing_classifier,C. Martin,CHA,I. Brazdeikis,ORL,Z.Zarba,2026-06-30T15:07:04.392Z
0022001006,464,3,PT05M12.00S,Forbes S.FOUL (P1.T3) (D.Taylor),NO,Olynyk pumps defender into the air and jumps into them,landing_classifier,K. Olynyk,HOU,B. Forbes,MIL,D.Taylor,2026-06-30T15:30:51.909Z
0022001016,252,2,PT03M46.00S,Brooks S.FOUL (P2.PN) (M.Davis),YES,,landing_classifier,J. Clarkson,UTA,A. Brooks,HOU,M.Davis,2026-06-30T14:53:24.197Z
0022001019,361,3,PT05M47.00S,Randle S.FOUL (P3.T4) (E.Lewis),YES,,landing_classifier,M. Morris Sr.,LAC,J. Randle,NYK,E.Lewis,2026-06-30T15:04:31.296Z
0022001038,483,4,PT10M59.00S,G. Antetokounmpo S.FOUL (P4.T1) (N.Buchert),YES,,landing_classifier,C. Randle,ORL,G. Antetokounmpo,MIL,N.Buchert,2026-06-30T14:51:27.076Z
0022001046,255,2,PT04M03.00S,McLemore S.FOUL (P2.T3) (E.Dalen),NO,,landing_classifier,A. Brooks,HOU,B. McLemore,LAL,E.Dalen,2026-06-30T15:18:10.624Z
0022001049,137,1,PT03M08.00S,Hall S.FOUL (P1.T4) (B.Adair),NO,,landing_classifier,D. Gallinari,ATL,D. Hall,ORL,B.Adair,2026-06-30T14:52:27.358Z
0022001049,305,2,PT00M29.00S,Harris S.FOUL (P2.T1) (A.Smith),NO,Contest,landing_classifier,B. Bogdanović,ATL,G. Harris,ORL,A.Smith,2026-06-30T14:54:55.165Z
0022001055,502,3,PT00M04.30S,Scott S.FOUL (P1.PN) (B.Forte),YES,,landing_classifier,C. Randle,ORL,M. Scott,PHI,B.Forte,2026-06-30T15:08:11.230Z
0022001063,192,2,PT10M40.00S,McLaughlin S.FOUL (P1.T1) (N.Buchert),NO,,landing_classifier,T. Waters,BOS,J. McLaughlin,MIN,N.Buchert,2026-06-30T15:00:59.379Z
0022001065,489,4,PT11M12.00S,Weatherspoon S.FOUL (P3.T1) (T.Brothers),NO,,landing_classifier,L. Galloway,PHX,Q. Weatherspoon,SAS,T.Brothers,2026-06-30T14:59:16.822Z
0022100002,156,1,PT01M39.00S,Anthony S.FOUL (P2.PN) (R.Acosta),YES,,landing_classifier,S. Curry,GSW,C. Anthony,LAL,R.Acosta,2026-06-30T15:29:44.506Z
0022100070,23,1,PT10M34.00S,Melton S.FOUL (P1.T1) (E.Dalen),YES,,landing_classifier,S. Curry,GSW,D. Melton,MEM,E.Dalen,2026-06-30T15:26:00.506Z
0022100115,32,1,PT09M22.00S,Okogie S.FOUL (P1.T1) (M.Davis),NO,Contest,landing_classifier,P. George,LAC,J. Okogie,MIN,M.Davis,2026-06-30T14:54:06.906Z
0022100165,678,4,PT02M18.00S,Alexander-Walker S.FOUL (P1.T3) (S.Foster),UNCLEAR,This is a jump ball,landing_classifier,L. Dort,OKC,N. Alexander-Walker,NOP,S.Foster,2026-06-30T15:03:31.799Z
0022100172,139,1,PT00M15.20S,Bitadze S.FOUL (P1.T4) (R.Acosta),YES,,landing_classifier,J. Clarkson,UTA,G. Bitadze,IND,R.Acosta,2026-06-30T15:03:59.659Z
0022100182,393,3,PT07M29.00S,Je. Green S.FOUL (P1.T1) (S.Wright),NO,,landing_classifier,T. Young,ATL,J. Green,DEN,S.Wright,2026-06-30T14:48:17.471Z
0022100250,201,2,PT10M51.00S,White S.FOUL (P1.T1) (M.Kogut),NO,Arm contact slightly after the shot but not near a landing area,landing_classifier,A. Burks,NYK,C. White,CHI,M.Kogut,2026-06-30T15:25:16.592Z
0022100255,567,4,PT05M18.00S,Robinson-Earl S.FOUL (P2.T2) (C.Blair),NO,,landing_classifier,T. Young,ATL,J. Robinson-Earl,OKC,C.Blair,2026-06-30T15:19:01.789Z
0022100278,40,1,PT09M00.00S,Poole S.FOUL (P1.T1) (K.Fitzgerald),YES,,landing_classifier,S. Curry,PHI,J. Poole,GSW,K.Fitzgerald,2026-06-30T14:51:13.406Z
0022100288,499,4,PT10M29.00S,Campazzo S.FOUL (P4.T1) (G.Petraitis),NO,Contact after shot but arm contact not related to landing zone,landing_classifier,K. Middleton,MIL,F. Campazzo,DEN,G.Petraitis,2026-06-30T14:54:15.615Z
0022100297,483,3,PT00M01.90S,Augustin S.FOUL (P2.PN) (C.Kirkland),NO,,landing_classifier,T. Rozier,CHA,D. Augustin,HOU,C.Kirkland,2026-06-30T14:55:57.907Z
0022100302,187,2,PT10M45.00S,Flynn S.FOUL (P1.T1) (S.Foster),YES,,landing_classifier,J. Richardson,BOS,M. Flynn,TOR,S.Foster,2026-06-30T14:44:38.075Z
0022100369,373,3,PT07M34.00S,Turner S.FOUL (P1.T1) (B.Adair),YES,,landing_classifier,R. Barrett,NYK,M. Turner,IND,B.Adair,2026-06-30T15:27:52.279Z
0022100375,585,4,PT00M56.80S,Ingram S.FOUL (P5.PN) (Z.Zarba),YES,,landing_classifier,M. Morris,DEN,B. Ingram,NOP,Z.Zarba,2026-06-30T14:51:35.414Z
0022100423,607,4,PT01M39.00S,McDaniels S.FOUL (P5.T4) (J.Conley),UNCLEAR,"This is a layup, not 3pt attempt",landing_classifier,B. Forbes,SAS,J. McDaniels,CHA,J.Conley,2026-06-30T14:46:09.322Z
0022100478,137,2,PT11M29.00S,Stephenson S.FOUL (P1.T1) (A.Smith),YES,,landing_classifier,I. Joe,PHI,L. Stephenson,ATL,A.Smith,2026-06-30T15:14:41.279Z
0022100480,29,1,PT09M24.00S,Holiday S.FOUL (P1.T2) (S.Wright),NO,,landing_classifier,K. Walker,NYK,A. Holiday,WAS,S.Wright,2026-06-30T14:46:52.831Z
0022100498,582,3,PT00M45.70S,Stanley S.FOUL (P2.PN) (S.Wright),UNCLEAR,Clip doesn't show a foul,landing_classifier,B. Forbes,SAS,C. Stanley,DET,S.Wright,2026-06-30T15:08:02.382Z
0022100505,636,4,PT02M21.00S,Anderson S.FOUL (P4.PN) (J.Butler),YES,,landing_classifier,C. Johnson,PHX,K. Anderson,MEM,J.Butler,2026-06-30T14:51:20.581Z
0022100617,532,4,PT11M37.00S,Joseph S.FOUL (P2.T1) (G.Petraitis),YES,,landing_classifier,L. Shamet,PHX,C. Joseph,DET,G.Petraitis,2026-06-30T14:55:41.994Z
0022100645,371,3,PT08M16.00S,Curry S.FOUL (P2.T1) (B.Schwab),YES,,landing_classifier,M. Strus,MIA,S. Curry,PHI,B.Schwab,2026-06-30T14:42:20.710Z
